episode_hash,split,manifest_task,task_description,relative_path,abs_zarr_path,user_id,scene_id,environment_id,total_frames,fps,duration_sec,n_subcaptions,annotation_coverage,quality_tier
696ba1a51e187f32c5eb59f7,train,adding_soil_to_bags,The person is filling small plastic seedling bags with soil from a pile on the ground.,full/human/mecka/4c/696ba1a51e187f32c5eb59f7.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/4c/696ba1a51e187f32c5eb59f7.zarr,691a804d9e2d4a70b6277755,nursery,garden_centre,2836,30.0,94.533,7,1.0,pass
696bb301f79f22003e62032b,train,adding_soil_to_pots,"The person plants a small seedling into a pot by filling it with soil, inserting the plant, and packing the soil, before preparing a new pot.",full/human/mecka/cf/696bb301f79f22003e62032b.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/cf/696bb301f79f22003e62032b.zarr,694b1b1bbbfb646b2b3c5ee6,greenhouse,garden_centre,2980,30.0,99.333,7,1.0,pass
69b327d3241a6c270e2e2588,train,applying_nail_polish,"The person is performing a manicure, specifically applying nail polish to fake nails and curing them using a UV nail lamp.",full/human/mecka/14/69b327d3241a6c270e2e2588.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/14/69b327d3241a6c270e2e2588.zarr,695c80d483a9fdf2d84c63ff,manicure_station,nail_salon,2005,30.0,66.833,9,0.9995,pass
69b49ff240272c2234cd2d0f,train,applying_screen_protectors,"A technician carefully applies a privacy screen protector to a smartphone screen at a workbench, ensuring proper alignment and adhesion.",full/human/mecka/6b/69b49ff240272c2234cd2d0f.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/6b/69b49ff240272c2234cd2d0f.zarr,692cf757ce5ff368187a08f2,repair_bench,mobile_repair,2369,30.0,78.967,12,0.9992,pass
696da14ac8b3144c937f8c59,train,applying_veneer,The person is filling gaps in a wooden panel surface by inserting thin wooden strips and trimming them flush with a utility knife.,full/human/mecka/e3/696da14ac8b3144c937f8c59.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/e3/696da14ac8b3144c937f8c59.zarr,695170e4c0d9448524bad872,workshop,woodworking_shop,2686,30.0,89.533,11,1.0,pass
69b272057d5af359fc3326e5,train,applying_veneer_strips,A person is meticulously applying thin wooden strips into the gaps between larger wooden planks to create a seamless surface.,full/human/mecka/a4/69b272057d5af359fc3326e5.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/a4/69b272057d5af359fc3326e5.zarr,6947fb035c0479a0fb81d4f0,assembly_area,woodworking_shop,2095,30.0,69.833,13,1.0,pass
69b429ce19bfe1efa7ca9cdc,train,applying_wood_filler,The person is applying and smoothing filler paste into the gaps of a wooden surface using their fingers and a small knife.,full/human/mecka/b8/69b429ce19bfe1efa7ca9cdc.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/b8/69b429ce19bfe1efa7ca9cdc.zarr,6947fb7a5c0479a0fb81d5ba,assembly_area,woodworking_shop,2251,30.0,75.033,17,0.9996,pass
696da11064a75ad017733b41,train,arranging_wood_pieces,"The person is assembling a wooden surface by trimming wooden pieces with a knife, pressing them into place, and removing shavings.",full/human/mecka/6b/696da11064a75ad017733b41.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/6b/696da11064a75ad017733b41.zarr,6959301e20b100982d8761a2,assembly_area,woodworking_shop,2836,30.0,94.533,19,1.0,pass
69b204842d7a7dc083ea7b4e,train,assembling_blocks,Assembling a pixel art craft by connecting small plastic hexagonal pieces and securing them with a hammer tool,full/human/mecka/e6/69b204842d7a7dc083ea7b4e.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/e6/69b204842d7a7dc083ea7b4e.zarr,6947605873a07e0be60b336c,craft_section,toy_store,1801,30.0,60.033,7,1.0,pass
69b1ca05f5e7396077b83a7a,train,assembling_connectors,The person is assembling decorative items by attaching small white plastic pieces to the ends of red cords.,full/human/mecka/48/69b1ca05f5e7396077b83a7a.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/48/69b1ca05f5e7396077b83a7a.zarr,69270b12168ef5e1c2bd2785,break_room,hardware_store,1799,30.0,59.967,18,1.0,pass
69b1fe72c70619d18bc1649c,train,assembling_electronics,Routing and securing antenna and display cables into the channels of a laptop screen assembly.,full/human/mecka/fc/69b1fe72c70619d18bc1649c.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/fc/69b1fe72c70619d18bc1649c.zarr,69386f1ec67c9e4814af1b04,repair_center,electronics_shop,1919,30.0,63.967,6,1.0,pass
69b57dfc096a5342c3dc7bf9,train,assembling_furniture,The person installs a cabinet door onto a cabinet frame using a power drill and screws to secure the hinges.,full/human/mecka/47/69b57dfc096a5342c3dc7bf9.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/47/69b57dfc096a5342c3dc7bf9.zarr,6939675ac67c9e4814afd4a4,workshop,furniture_reupholstery,2693,30.0,89.767,9,0.9993,pass
696b59621376c8db5e314fb9,train,assembling_signs,The person is gluing a white flexible strip onto the edge of a green plastic object to create a border.,full/human/mecka/99/696b59621376c8db5e314fb9.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/99/696b59621376c8db5e314fb9.zarr,68d40ffaf29e2c95810cab31,fabrication_area,sign_shop,2983,30.0,99.433,8,1.0,pass
