episode_hash,split,manifest_task,relative_path,span_index,start_idx,end_idx,duration_sec,text_normalized
696b0c713e1499d81d87bbb2,train,wrapping_objects,full/human/mecka/1e/696b0c713e1499d81d87bbb2.zarr,0,0,279,9.3,"peel tape, adjust tape, adjust tube"
696b0c713e1499d81d87bbb2,train,wrapping_objects,full/human/mecka/1e/696b0c713e1499d81d87bbb2.zarr,1,279,710,14.367,"adjust tape, adjust tube"
696b0c713e1499d81d87bbb2,train,wrapping_objects,full/human/mecka/1e/696b0c713e1499d81d87bbb2.zarr,2,710,1130,14.0,adjust pink ribbon around the tube
696b0c713e1499d81d87bbb2,train,wrapping_objects,full/human/mecka/1e/696b0c713e1499d81d87bbb2.zarr,3,1130,1760,21.0,secure pink ribbon with tape
696b0c713e1499d81d87bbb2,train,wrapping_objects,full/human/mecka/1e/696b0c713e1499d81d87bbb2.zarr,4,1760,1989,7.633,"pick up blade, cut tape with blade, drop blade on workbench"
696b0c713e1499d81d87bbb2,train,wrapping_objects,full/human/mecka/1e/696b0c713e1499d81d87bbb2.zarr,5,1989,2386,13.233,attach pink ribbon to tube
696b19a2f8e8293f615f75e9,train,cleaning_sachets,full/human/mecka/33/696b19a2f8e8293f615f75e9.zarr,0,0,120,4.0,"adjust red sachet on table, pick up cloth, adjust brown sachet"
696b19a2f8e8293f615f75e9,train,cleaning_sachets,full/human/mecka/33/696b19a2f8e8293f615f75e9.zarr,1,120,373,8.433,move sachets on table
696b19a2f8e8293f615f75e9,train,cleaning_sachets,full/human/mecka/33/696b19a2f8e8293f615f75e9.zarr,2,373,1029,21.867,wipe red sachets with cloth
696b19a2f8e8293f615f75e9,train,cleaning_sachets,full/human/mecka/33/696b19a2f8e8293f615f75e9.zarr,3,1029,1686,21.9,wipe red sachets with cloth
696b19a2f8e8293f615f75e9,train,cleaning_sachets,full/human/mecka/33/696b19a2f8e8293f615f75e9.zarr,4,1686,2343,21.9,"wipe red sachets with cloth, place cloth on table, flip red sachets, pick up cloth and wipe sachets"
